shape,iterativefit,central,4,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,-15.0,0.0,1.1564406156539917
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0,0.0475,1.1564406156539917
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.0475,0.115,-306.43113231417914*(x-0.0475)*(x-0.0475)*(x-0.0475)+92.68832202162602*(x-0.0475)*(x-0.0475)-8.324392933100077*(x-0.0475)+1.1564406156539917
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.115,0.155,-5345.432087779048*(x-0.115)*(x-0.115)*(x-0.115)+320.7259252667428*(x-0.115)*(x-0.115)+0.0*(x-0.115)+0.9226133227348328
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.155,0.1975,507.31300002171076*(x-0.155)*(x-0.155)*(x-0.155)-51.79762418703051*(x-0.155)*(x-0.155)+0.0*(x-0.155)+1.0936671495437622
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.1975,0.2425,1491.8213691885578*(x-0.1975)*(x-0.1975)*(x-0.1975)-82.32243423100596*(x-0.1975)*(x-0.1975)-1.6537957370299476*(x-0.1975)+1.03905189037323
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2425,0.2875,-3181.6602897905714*(x-0.2425)*(x-0.2425)*(x-0.2425)+214.7620695608635*(x-0.2425)*(x-0.2425)+0.0*(x-0.2425)+0.9338703751564026
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.2875,0.3325,4516.859276958606*(x-0.2875)*(x-0.2875)*(x-0.2875)-304.88800119470613*(x-0.2875)*(x-0.2875)+0.0*(x-0.2875)+1.0788347721099854
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.3325,0.38,-5122.091179600369*(x-0.3325)*(x-0.3325)*(x-0.3325)+364.94899654652625*(x-0.3325)*(x-0.3325)+0.0*(x-0.3325)+0.8730353713035583
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.38,0.43,410.8990435867076*(x-0.38)*(x-0.38)*(x-0.38)-46.27556207313418*(x-0.38)*(x-0.38)+0.0*(x-0.38)+1.1475074291229248
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.43,0.48,930.4627185134717*(x-0.43000000000000005)*(x-0.43000000000000005)*(x-0.43000000000000005)-54.32657008437916*(x-0.43000000000000005)*(x-0.43000000000000005)-1.5458133804131098*(x-0.43000000000000005)+1.0831809043884277
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.48,0.53,-2672.2450256347583*(x-0.48)*(x-0.48)*(x-0.48)+200.41837692260702*(x-0.48)*(x-0.48)+0.0*(x-0.48)+0.9863816499710083
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.53,0.5800000000000001,150.77903205416774*(x-0.53)*(x-0.53)*(x-0.53)-23.21201678825524*(x-0.53)*(x-0.53)+0.0*(x-0.53)+1.1533969640731812
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.5800000000000001,0.63,1503.608965220679*(x-0.5800000000000001)*(x-0.5800000000000001)*(x-0.5800000000000001)-100.86708300735809*(x-0.5800000000000001)*(x-0.5800000000000001)-1.190358938419266*(x-0.5800000000000001)+1.114214301109314
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.63,0.6799999999999999,-111.82117462158249*(x-0.63)*(x-0.63)*(x-0.63)+8.386588096618675*(x-0.63)*(x-0.63)+0.0*(x-0.63)+0.9904797673225403
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.6799999999999999,0.73,1747.3297119140582*(x-0.6799999999999999)*(x-0.6799999999999999)*(x-0.6799999999999999)-131.04972839355446*(x-0.6799999999999999)*(x-0.6799999999999999)+0.0*(x-0.6799999999999999)+0.9974685907363892
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.73,0.78,-789.1011953055432*(x-0.73)*(x-0.73)*(x-0.73)+74.7967040523865*(x-0.73)*(x-0.73)+0.0*(x-0.73)+0.8882604837417603
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.78,0.8300000000000001,-494.3357228934346*(x-0.78)*(x-0.78)*(x-0.78)+21.461064812536915*(x-0.78)*(x-0.78)+1.5614114404470727*(x-0.78)+0.9766145944595337
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.8300000000000001,0.88,2485.093116760264*(x-0.8300000000000001)*(x-0.8300000000000001)*(x-0.8300000000000001)-186.38198375701953*(x-0.8300000000000001)*(x-0.8300000000000001)+0.0*(x-0.8300000000000001)+1.0465458631515503
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.88,0.93,-939.0592575073281*(x-0.88)*(x-0.88)*(x-0.88)+70.42944431304952*(x-0.88)*(x-0.88)+0.0*(x-0.88)+0.8912275433540344
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.93,0.9825,-43.31487169149021*(x-0.9299999999999999)*(x-0.9299999999999999)*(x-0.9299999999999999)-16.540687608083285*(x-0.9299999999999999)*(x-0.9299999999999999)+0.0*(x-0.9299999999999999)+0.9499187469482422
shape,iterativefit,central,5,0.0,2.5,20.0,30.0,0.9825,1.1,0.89806067943573
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,-15.0,0.0,1.0566848516464233
shape,iterativefit,central,5,0.0,2.5,30.0,50.0,0.0,0.0475,1.0566848516464233
